vd	V(out)
-7.540000000000100e-03	2.197001e+00
-7.530000000000101e-03	2.196918e+00
-7.520000000000101e-03	2.196835e+00
-7.510000000000102e-03	2.196752e+00
-7.500000000000102e-03	2.196669e+00
-7.490000000000102e-03	2.196586e+00
-7.480000000000103e-03	2.196502e+00
-7.470000000000103e-03	2.196419e+00
-7.460000000000104e-03	2.196335e+00
-7.450000000000104e-03	2.196252e+00
-7.440000000000105e-03	2.196168e+00
-7.430000000000105e-03	2.196084e+00
-7.420000000000105e-03	2.196000e+00
-7.410000000000106e-03	2.195916e+00
-7.400000000000106e-03	2.195832e+00
-7.390000000000107e-03	2.195748e+00
-7.380000000000107e-03	2.195663e+00
-7.370000000000107e-03	2.195579e+00
-7.360000000000108e-03	2.195494e+00
-7.350000000000108e-03	2.195410e+00
-7.340000000000109e-03	2.195325e+00
-7.330000000000109e-03	2.195240e+00
-7.320000000000109e-03	2.195155e+00
-7.310000000000110e-03	2.195070e+00
-7.300000000000110e-03	2.194984e+00
-7.290000000000111e-03	2.194899e+00
-7.280000000000111e-03	2.194813e+00
-7.270000000000111e-03	2.194728e+00
-7.260000000000112e-03	2.194642e+00
-7.250000000000112e-03	2.194556e+00
-7.240000000000113e-03	2.194470e+00
-7.230000000000113e-03	2.194384e+00
-7.220000000000113e-03	2.194298e+00
-7.210000000000114e-03	2.194212e+00
-7.200000000000114e-03	2.194125e+00
-7.190000000000115e-03	2.194039e+00
-7.180000000000115e-03	2.193952e+00
-7.170000000000116e-03	2.193866e+00
-7.160000000000116e-03	2.193779e+00
-7.150000000000116e-03	2.193692e+00
-7.140000000000117e-03	2.193604e+00
-7.130000000000117e-03	2.193517e+00
-7.120000000000118e-03	2.193430e+00
-7.110000000000118e-03	2.193342e+00
-7.100000000000118e-03	2.193255e+00
-7.090000000000119e-03	2.193167e+00
-7.080000000000119e-03	2.193079e+00
-7.070000000000120e-03	2.192991e+00
-7.060000000000120e-03	2.192903e+00
-7.050000000000120e-03	2.192815e+00
-7.040000000000121e-03	2.192727e+00
-7.030000000000121e-03	2.192638e+00
-7.020000000000122e-03	2.192550e+00
-7.010000000000122e-03	2.192461e+00
-7.000000000000122e-03	2.192373e+00
-6.990000000000123e-03	2.192284e+00
-6.980000000000123e-03	2.192194e+00
-6.970000000000124e-03	2.192105e+00
-6.960000000000124e-03	2.192016e+00
-6.950000000000124e-03	2.191927e+00
-6.940000000000125e-03	2.191837e+00
-6.930000000000125e-03	2.191747e+00
-6.920000000000126e-03	2.191658e+00
-6.910000000000126e-03	2.191568e+00
-6.900000000000127e-03	2.191478e+00
-6.890000000000127e-03	2.191388e+00
-6.880000000000127e-03	2.191297e+00
-6.870000000000128e-03	2.191207e+00
-6.860000000000128e-03	2.191116e+00
-6.850000000000129e-03	2.191026e+00
-6.840000000000129e-03	2.190935e+00
-6.830000000000129e-03	2.190844e+00
-6.820000000000130e-03	2.190753e+00
-6.810000000000130e-03	2.190662e+00
-6.800000000000131e-03	2.190571e+00
-6.790000000000131e-03	2.190479e+00
-6.780000000000131e-03	2.190387e+00
-6.770000000000132e-03	2.190296e+00
-6.760000000000132e-03	2.190204e+00
-6.750000000000133e-03	2.190112e+00
-6.740000000000133e-03	2.190020e+00
-6.730000000000133e-03	2.189928e+00
-6.720000000000134e-03	2.189836e+00
-6.710000000000134e-03	2.189743e+00
-6.700000000000135e-03	2.189650e+00
-6.690000000000135e-03	2.189558e+00
-6.680000000000135e-03	2.189465e+00
-6.670000000000136e-03	2.189372e+00
-6.660000000000136e-03	2.189279e+00
-6.650000000000137e-03	2.189185e+00
-6.640000000000137e-03	2.189092e+00
-6.630000000000138e-03	2.188998e+00
-6.620000000000138e-03	2.188905e+00
-6.610000000000138e-03	2.188811e+00
-6.600000000000139e-03	2.188717e+00
-6.590000000000139e-03	2.188623e+00
-6.580000000000140e-03	2.188529e+00
-6.570000000000140e-03	2.188434e+00
-6.560000000000140e-03	2.188340e+00
-6.550000000000141e-03	2.188245e+00
-6.540000000000141e-03	2.188150e+00
-6.530000000000142e-03	2.188055e+00
-6.520000000000142e-03	2.187960e+00
-6.510000000000142e-03	2.187865e+00
-6.500000000000143e-03	2.187770e+00
-6.490000000000143e-03	2.187674e+00
-6.480000000000144e-03	2.187578e+00
-6.470000000000144e-03	2.187483e+00
-6.460000000000144e-03	2.187387e+00
-6.450000000000145e-03	2.187291e+00
-6.440000000000145e-03	2.187195e+00
-6.430000000000146e-03	2.187098e+00
-6.420000000000146e-03	2.187002e+00
-6.410000000000146e-03	2.186905e+00
-6.400000000000147e-03	2.186808e+00
-6.390000000000147e-03	2.186711e+00
-6.380000000000148e-03	2.186614e+00
-6.370000000000148e-03	2.186517e+00
-6.360000000000149e-03	2.186420e+00
-6.350000000000149e-03	2.186322e+00
-6.340000000000149e-03	2.186224e+00
-6.330000000000150e-03	2.186127e+00
-6.320000000000150e-03	2.186029e+00
-6.310000000000151e-03	2.185931e+00
-6.300000000000151e-03	2.185833e+00
-6.290000000000151e-03	2.185734e+00
-6.280000000000152e-03	2.185636e+00
-6.270000000000152e-03	2.185537e+00
-6.260000000000153e-03	2.185438e+00
-6.250000000000153e-03	2.185339e+00
-6.240000000000153e-03	2.185240e+00
-6.230000000000154e-03	2.185140e+00
-6.220000000000154e-03	2.185041e+00
-6.210000000000155e-03	2.184941e+00
-6.200000000000155e-03	2.184842e+00
-6.190000000000155e-03	2.184742e+00
-6.180000000000156e-03	2.184642e+00
-6.170000000000156e-03	2.184541e+00
-6.160000000000157e-03	2.184441e+00
-6.150000000000157e-03	2.184340e+00
-6.140000000000157e-03	2.184240e+00
-6.130000000000158e-03	2.184139e+00
-6.120000000000158e-03	2.184038e+00
-6.110000000000159e-03	2.183937e+00
-6.100000000000159e-03	2.183835e+00
-6.090000000000160e-03	2.183734e+00
-6.080000000000160e-03	2.183632e+00
-6.070000000000160e-03	2.183530e+00
-6.060000000000161e-03	2.183428e+00
-6.050000000000161e-03	2.183326e+00
-6.040000000000162e-03	2.183224e+00
-6.030000000000162e-03	2.183121e+00
-6.020000000000162e-03	2.183019e+00
-6.010000000000163e-03	2.182916e+00
-6.000000000000163e-03	2.182813e+00
-5.990000000000164e-03	2.182710e+00
-5.980000000000164e-03	2.182606e+00
-5.970000000000164e-03	2.182503e+00
-5.960000000000165e-03	2.182399e+00
-5.950000000000165e-03	2.182296e+00
-5.940000000000166e-03	2.182192e+00
-5.930000000000166e-03	2.182087e+00
-5.920000000000166e-03	2.181983e+00
-5.910000000000167e-03	2.181879e+00
-5.900000000000167e-03	2.181774e+00
-5.890000000000168e-03	2.181669e+00
-5.880000000000168e-03	2.181564e+00
-5.870000000000168e-03	2.181459e+00
-5.860000000000169e-03	2.181354e+00
-5.850000000000169e-03	2.181248e+00
-5.840000000000170e-03	2.181143e+00
-5.830000000000170e-03	2.181037e+00
-5.820000000000171e-03	2.180931e+00
-5.810000000000171e-03	2.180825e+00
-5.800000000000171e-03	2.180718e+00
-5.790000000000172e-03	2.180612e+00
-5.780000000000172e-03	2.180505e+00
-5.770000000000173e-03	2.180398e+00
-5.760000000000173e-03	2.180291e+00
-5.750000000000173e-03	2.180184e+00
-5.740000000000174e-03	2.180076e+00
-5.730000000000174e-03	2.179969e+00
-5.720000000000175e-03	2.179861e+00
-5.710000000000175e-03	2.179753e+00
-5.700000000000175e-03	2.179645e+00
-5.690000000000176e-03	2.179536e+00
-5.680000000000176e-03	2.179428e+00
-5.670000000000177e-03	2.179319e+00
-5.660000000000177e-03	2.179210e+00
-5.650000000000177e-03	2.179101e+00
-5.640000000000178e-03	2.178992e+00
-5.630000000000178e-03	2.178883e+00
-5.620000000000179e-03	2.178773e+00
-5.610000000000179e-03	2.178663e+00
-5.600000000000179e-03	2.178553e+00
-5.590000000000180e-03	2.178443e+00
-5.580000000000180e-03	2.178333e+00
-5.570000000000181e-03	2.178222e+00
-5.560000000000181e-03	2.178111e+00
-5.550000000000182e-03	2.178000e+00
-5.540000000000182e-03	2.177889e+00
-5.530000000000182e-03	2.177778e+00
-5.520000000000183e-03	2.177666e+00
-5.510000000000183e-03	2.177555e+00
-5.500000000000184e-03	2.177443e+00
-5.490000000000184e-03	2.177330e+00
-5.480000000000184e-03	2.177218e+00
-5.470000000000185e-03	2.177106e+00
-5.460000000000185e-03	2.176993e+00
-5.450000000000186e-03	2.176880e+00
-5.440000000000186e-03	2.176767e+00
-5.430000000000186e-03	2.176654e+00
-5.420000000000187e-03	2.176540e+00
-5.410000000000187e-03	2.176427e+00
-5.400000000000188e-03	2.176313e+00
-5.390000000000188e-03	2.176198e+00
-5.380000000000188e-03	2.176084e+00
-5.370000000000189e-03	2.175970e+00
-5.360000000000189e-03	2.175855e+00
-5.350000000000190e-03	2.175740e+00
-5.340000000000190e-03	2.175625e+00
-5.330000000000190e-03	2.175510e+00
-5.320000000000191e-03	2.175394e+00
-5.310000000000191e-03	2.175278e+00
-5.300000000000192e-03	2.175162e+00
-5.290000000000192e-03	2.175046e+00
-5.280000000000193e-03	2.174930e+00
-5.270000000000193e-03	2.174813e+00
-5.260000000000193e-03	2.174696e+00
-5.250000000000194e-03	2.174579e+00
-5.240000000000194e-03	2.174462e+00
-5.230000000000195e-03	2.174345e+00
-5.220000000000195e-03	2.174227e+00
-5.210000000000195e-03	2.174109e+00
-5.200000000000196e-03	2.173991e+00
-5.190000000000196e-03	2.173873e+00
-5.180000000000197e-03	2.173754e+00
-5.170000000000197e-03	2.173636e+00
-5.160000000000197e-03	2.173517e+00
-5.150000000000198e-03	2.173398e+00
-5.140000000000198e-03	2.173278e+00
-5.130000000000199e-03	2.173158e+00
-5.120000000000199e-03	2.173039e+00
-5.110000000000199e-03	2.172919e+00
-5.100000000000200e-03	2.172798e+00
-5.090000000000200e-03	2.172678e+00
-5.080000000000201e-03	2.172557e+00
-5.070000000000201e-03	2.172436e+00
-5.060000000000201e-03	2.172315e+00
-5.050000000000202e-03	2.172194e+00
-5.040000000000202e-03	2.172072e+00
-5.030000000000203e-03	2.171950e+00
-5.020000000000203e-03	2.171828e+00
-5.010000000000204e-03	2.171705e+00
-5.000000000000204e-03	2.171583e+00
-4.990000000000204e-03	2.171460e+00
-4.980000000000205e-03	2.171337e+00
-4.970000000000205e-03	2.171214e+00
-4.960000000000206e-03	2.171090e+00
-4.950000000000206e-03	2.170966e+00
-4.940000000000206e-03	2.170842e+00
-4.930000000000207e-03	2.170718e+00
-4.920000000000207e-03	2.170594e+00
-4.910000000000208e-03	2.170469e+00
-4.900000000000208e-03	2.170344e+00
-4.890000000000208e-03	2.170218e+00
-4.880000000000209e-03	2.170093e+00
-4.870000000000209e-03	2.169967e+00
-4.860000000000210e-03	2.169842e+00
-4.850000000000210e-03	2.169715e+00
-4.840000000000210e-03	2.169589e+00
-4.830000000000211e-03	2.169462e+00
-4.820000000000211e-03	2.169335e+00
-4.810000000000212e-03	2.169208e+00
-4.800000000000212e-03	2.169080e+00
-4.790000000000212e-03	2.168953e+00
-4.780000000000213e-03	2.168825e+00
-4.770000000000213e-03	2.168696e+00
-4.760000000000214e-03	2.168568e+00
-4.750000000000214e-03	2.168439e+00
-4.740000000000215e-03	2.168310e+00
-4.730000000000215e-03	2.168181e+00
-4.720000000000215e-03	2.168051e+00
-4.710000000000216e-03	2.167922e+00
-4.700000000000216e-03	2.167792e+00
-4.690000000000217e-03	2.167661e+00
-4.680000000000217e-03	2.167531e+00
-4.670000000000217e-03	2.167400e+00
-4.660000000000218e-03	2.167269e+00
-4.650000000000218e-03	2.167137e+00
-4.640000000000219e-03	2.167006e+00
-4.630000000000219e-03	2.166874e+00
-4.620000000000219e-03	2.166742e+00
-4.610000000000220e-03	2.166609e+00
-4.600000000000220e-03	2.166476e+00
-4.590000000000221e-03	2.166343e+00
-4.580000000000221e-03	2.166210e+00
-4.570000000000221e-03	2.166076e+00
-4.560000000000222e-03	2.165943e+00
-4.550000000000222e-03	2.165808e+00
-4.540000000000223e-03	2.165674e+00
-4.530000000000223e-03	2.165539e+00
-4.520000000000223e-03	2.165404e+00
-4.510000000000224e-03	2.165269e+00
-4.500000000000224e-03	2.165133e+00
-4.490000000000225e-03	2.164998e+00
-4.480000000000225e-03	2.164861e+00
-4.470000000000226e-03	2.164725e+00
-4.460000000000226e-03	2.164588e+00
-4.450000000000226e-03	2.164451e+00
-4.440000000000227e-03	2.164314e+00
-4.430000000000227e-03	2.164176e+00
-4.420000000000228e-03	2.164038e+00
-4.410000000000228e-03	2.163900e+00
-4.400000000000228e-03	2.163762e+00
-4.390000000000229e-03	2.163623e+00
-4.380000000000229e-03	2.163484e+00
-4.370000000000230e-03	2.163344e+00
-4.360000000000230e-03	2.163205e+00
-4.350000000000230e-03	2.163065e+00
-4.340000000000231e-03	2.162925e+00
-4.330000000000231e-03	2.162784e+00
-4.320000000000232e-03	2.162643e+00
-4.310000000000232e-03	2.162502e+00
-4.300000000000232e-03	2.162360e+00
-4.290000000000233e-03	2.162218e+00
-4.280000000000233e-03	2.162076e+00
-4.270000000000234e-03	2.161933e+00
-4.260000000000234e-03	2.161791e+00
-4.250000000000234e-03	2.161647e+00
-4.240000000000235e-03	2.161504e+00
-4.230000000000235e-03	2.161360e+00
-4.220000000000236e-03	2.161216e+00
-4.210000000000236e-03	2.161072e+00
-4.200000000000237e-03	2.160927e+00
-4.190000000000237e-03	2.160782e+00
-4.180000000000237e-03	2.160636e+00
-4.170000000000238e-03	2.160490e+00
-4.160000000000238e-03	2.160344e+00
-4.150000000000239e-03	2.160198e+00
-4.140000000000239e-03	2.160051e+00
-4.130000000000239e-03	2.159904e+00
-4.120000000000240e-03	2.159756e+00
-4.110000000000240e-03	2.159609e+00
-4.100000000000241e-03	2.159460e+00
-4.090000000000241e-03	2.159312e+00
-4.080000000000241e-03	2.159163e+00
-4.070000000000242e-03	2.159014e+00
-4.060000000000242e-03	2.158864e+00
-4.050000000000243e-03	2.158714e+00
-4.040000000000243e-03	2.158564e+00
-4.030000000000243e-03	2.158414e+00
-4.020000000000244e-03	2.158262e+00
-4.010000000000244e-03	2.158111e+00
-4.000000000000245e-03	2.157959e+00
-3.990000000000245e-03	2.157808e+00
-3.980000000000245e-03	2.157655e+00
-3.970000000000246e-03	2.157502e+00
-3.960000000000246e-03	2.157349e+00
-3.950000000000247e-03	2.157196e+00
-3.940000000000247e-03	2.157042e+00
-3.930000000000248e-03	2.156888e+00
-3.920000000000248e-03	2.156733e+00
-3.910000000000248e-03	2.156578e+00
-3.900000000000248e-03	2.156422e+00
-3.890000000000248e-03	2.156266e+00
-3.880000000000248e-03	2.156110e+00
-3.870000000000248e-03	2.155954e+00
-3.860000000000248e-03	2.155797e+00
-3.850000000000248e-03	2.155640e+00
-3.840000000000248e-03	2.155482e+00
-3.830000000000248e-03	2.155324e+00
-3.820000000000248e-03	2.155165e+00
-3.810000000000248e-03	2.155006e+00
-3.800000000000248e-03	2.154847e+00
-3.790000000000248e-03	2.154687e+00
-3.780000000000248e-03	2.154527e+00
-3.770000000000248e-03	2.154366e+00
-3.760000000000248e-03	2.154206e+00
-3.750000000000248e-03	2.154044e+00
-3.740000000000248e-03	2.153883e+00
-3.730000000000248e-03	2.153720e+00
-3.720000000000248e-03	2.153558e+00
-3.710000000000248e-03	2.153395e+00
-3.700000000000248e-03	2.153231e+00
-3.690000000000248e-03	2.153068e+00
-3.680000000000248e-03	2.152903e+00
-3.670000000000248e-03	2.152739e+00
-3.660000000000248e-03	2.152573e+00
-3.650000000000248e-03	2.152408e+00
-3.640000000000248e-03	2.152242e+00
-3.630000000000248e-03	2.152075e+00
-3.620000000000248e-03	2.151908e+00
-3.610000000000248e-03	2.151741e+00
-3.600000000000248e-03	2.151573e+00
-3.590000000000248e-03	2.151405e+00
-3.580000000000247e-03	2.151236e+00
-3.570000000000247e-03	2.151067e+00
-3.560000000000247e-03	2.150898e+00
-3.550000000000247e-03	2.150728e+00
-3.540000000000247e-03	2.150557e+00
-3.530000000000247e-03	2.150386e+00
-3.520000000000247e-03	2.150215e+00
-3.510000000000247e-03	2.150043e+00
-3.500000000000247e-03	2.149870e+00
-3.490000000000247e-03	2.149698e+00
-3.480000000000247e-03	2.149524e+00
-3.470000000000247e-03	2.149350e+00
-3.460000000000247e-03	2.149176e+00
-3.450000000000247e-03	2.149001e+00
-3.440000000000247e-03	2.148826e+00
-3.430000000000247e-03	2.148650e+00
-3.420000000000247e-03	2.148474e+00
-3.410000000000247e-03	2.148297e+00
-3.400000000000247e-03	2.148120e+00
-3.390000000000247e-03	2.147942e+00
-3.380000000000247e-03	2.147764e+00
-3.370000000000247e-03	2.147585e+00
-3.360000000000247e-03	2.147406e+00
-3.350000000000247e-03	2.147226e+00
-3.340000000000247e-03	2.147046e+00
-3.330000000000247e-03	2.146865e+00
-3.320000000000247e-03	2.146684e+00
-3.310000000000247e-03	2.146502e+00
-3.300000000000247e-03	2.146320e+00
-3.290000000000247e-03	2.146137e+00
-3.280000000000247e-03	2.145953e+00
-3.270000000000247e-03	2.145769e+00
-3.260000000000247e-03	2.145585e+00
-3.250000000000247e-03	2.145399e+00
-3.240000000000247e-03	2.145214e+00
-3.230000000000247e-03	2.145027e+00
-3.220000000000247e-03	2.144841e+00
-3.210000000000247e-03	2.144653e+00
-3.200000000000246e-03	2.144465e+00
-3.190000000000246e-03	2.144277e+00
-3.180000000000246e-03	2.144088e+00
-3.170000000000246e-03	2.143898e+00
-3.160000000000246e-03	2.143708e+00
-3.150000000000246e-03	2.143517e+00
-3.140000000000246e-03	2.143326e+00
-3.130000000000246e-03	2.143134e+00
-3.120000000000246e-03	2.142941e+00
-3.110000000000246e-03	2.142748e+00
-3.100000000000246e-03	2.142554e+00
-3.090000000000246e-03	2.142360e+00
-3.080000000000246e-03	2.142165e+00
-3.070000000000246e-03	2.141969e+00
-3.060000000000246e-03	2.141773e+00
-3.050000000000246e-03	2.141576e+00
-3.040000000000246e-03	2.141379e+00
-3.030000000000246e-03	2.141181e+00
